614063,46-0167-003427-П,"Участок утилизации и обезвреживания отходов ООО ""Меркурий""","Московская обл, г Кашира, деревня Пурлово, ул Полевая",46735000,Federal,1.0,26.0,"{68.2,38.11,38.12,38.21,38.22,38.32}",,1.0,1.0,Federal,46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕРКУРИЙ""",2008-10-26 21:00:00,5019020930,501901001,t,"Московская обл, г Кашира, деревня Пурлово, ул Полевая",142926,46735000436,54.72783583046557,38.39033357361937,f
659049,46-0167-004393-П,"Площадка для сбора и обработки отходов производства (аренда у АО ""Пале-Рояль"")","Московская обл, г Ногинск, г Старая Купавна, ул Дорожная, д 7",46751000,Federal,1.0,26.0,{52.10.9},2023-01-27,1.0,1.0,Federal,46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОНИКС""",2006-09-26 20:00:00,7718604273,771801001,t,"г Москва, ул Электрозаводская, д 24 стр 3",107023,45316000,55.79779978434691,38.20323045805002,t
597673,46-0167-003271-П,Промплощадка МЕТКОМ Групп,"Московская обл, г Зарайск, ул Московская, № 2",46729000,Federal,1.0,26.0,{38.32.4},,1.0,1.0,Federal,46,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕТКОМ ГРУПП""",2015-09-09 21:00:00,5014008055,772801001,f,"г Москва, ул Профсоюзная, д 124А, ",,,,,
626859,46-0167-003597-П,Территория АО «ПО АиФ»,"Московская обл, г Воскресенск, деревня Ратмирово, ул Набережная, зд 4",46710000,Federal,1.0,26.0,{38.32.4},,1.0,1.0,Federal,46,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ АЛЮМИНИЙ И ФЛЮСЫ""",2022-01-27 21:00:00,7707461496,770701001,f,"Россия, г. Москва, вн. тер. г. муниципальный округ Тверской, ул.",,,,,
655092,46-0167-004319-П,"Комплекс термического обезвреживания отходов  ООО ""ЭКОТАЙМ""","Московская обл, г Шатура, поселок Осаново-Дубовое",46786000,Federal,1.0,26.0,{38.22},,1.0,1.0,Federal,46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОТАЙМ""",2017-09-13 21:00:00,7724419769,501801001,t,"141070, ОБЛАСТЬ МОСКОВСКАЯ, Г. КОРОЛЁВ, УЛ. ПИОНЕРСКАЯ, Д. 1, ЛИТЕР Е, ОБЪЕКТ 8 ОФИС",,46734000,55.47951094879377,39.66529564471879,f
636469,46-0167-003851-П,Производство,"Московская обл, г Щёлково, ул Заводская, д 2 к 169",46788000,Federal,1.0,26.0,{20.30},,1.0,1.0,Federal,46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСНА КОУТИНГС""",2017-02-16 21:00:00,9723010825,505001001,t,"Московская обл, г Щёлково, ул Заводская, д 2, кв 169",141108,46788000001,55.91447184567176,38.0405624745358,f
413010,46-0177-009284-П,ООО «Арома Пром»,"143532, Московская обл., Истринский район, г. Дедовск, ул. 1-я Волоколамская, д. 74а",46618103,Federal,1.0,26.0,"{20.42,41.2,43.12,43.2,43.3,43.99,46.45,47.19,47.74,49.10,49.20,49.3,52.10,52.29,68.20}",,1.0,1.0,Federal,46,"Общество с ограниченной ответственностью ""Арома Пром""",2004-11-17 21:00:00,5017056804,501701001,t,"Московская обл., Истринский район, г. Дедовск, ул. 1-я Волоколамская, д. 74а",143532,46618103,55.88068851241297,37.11894308697553,f
554196,65-0166-002332-П,"Алапаевское обособленное подразделение ООО ""Уралпласт""","Свердловская обл, г Алапаевск, ул Московская, зд 10",65728000,Federal,1.0,22.0,{20.14.7},,1.0,1.0,Federal,65,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛПЛАСТ""",2013-11-19 20:00:00,6679041167,667901001,t,"г Екатеринбург, ул Куйбышева, д 44Д, офис 2201",620026,65701000,57.82199720606998,61.683908098850615,f
536603,45-0177-011370-Т,Водовыпуск улицы Генерала Дорохова,"г Москва, ул Генерала Дорохова, д 5, X: 4287.84, Y: -2898.29",45323000,Federal,1.0,24.0,{37.00},,1.0,1.0,Federal,45,"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""",2002-07-24 20:00:00,7705013033,775050001,t,"г. Москва, ул. Новокузнецкая, д.26/8, стр.1",119017,45376000,55.705535,37.452768,f
414750,46-0177-009232-П,"Производственная площадка ООО ""ПРОГРЕСС""","140730, Московская обл., г. Рошаль, ул. Косякова, д. 18",46765000,Federal,1.0,26.0,"{38.1,38.2,38.32.5}",,1.0,1.0,Federal,46,"Общество с ограниченной ответственностью ""ПРОГРЕСС""",,7728844130,770801001,t,"Москва, ул. Ольховская, д. 15, цоколь, помещение II, комната 10",105066,45378000,55.67630382545155,39.88695011333613,f
410313,46-0177-009182-П,База №2,"143144;Московская область, Рузский район, с.п. Колюбакинское, вблизи деревни Морево, промышленный квартал «Металер»",46766000,Federal,1.0,26.0,"{38.21,38.22}",,1.0,1.0,Federal,46,Общество с ограниченной ответственностью «ПАНОРАМА СЕРВИС»,,7735582950,773501001,t,"г. Зеленоград , 4801-й проезд, д.4, стр. 2.",124460,45000000,55.64511912644467,36.428184231379454,f
