temp_mean,wdir_mean,wspd_mean,pres_mean,pm10,o3,no2,co,aqi,latitude,longitude,cluster,log_pm25,day_of_week
17.75,180.3,1.13,1009.52,12.0,0.017,0.019,1.0,24.52,55.715698,37.6052377,5,2.8903717578961645,6
17.75,180.3,1.13,1009.52,23.0,0.023,0.009,2.0,32.092,55.759354,37.595584,5,3.295836866004329,6
17.75,180.3,1.13,1009.52,20.0,0.0143150684931506,0.025,4.0,30.412,55.719959,37.795549,1,3.2188758248682006,6
17.75,180.3,1.13,1009.52,21.0,0.031,0.026,3.0,27.044,55.773757,37.627445,5,3.044522437723423,6
17.75,180.3,1.13,1009.52,23.0,0.021,0.038,1.0,38.824,55.707241,37.52241,10,3.5553480614894135,6
17.75,180.3,1.13,1009.52,16.0,0.021,0.022,1.0,38.824,55.693546,37.455579,0,3.5553480614894135,6
17.75,180.3,1.13,1009.52,42.0,0.0245806451612903,0.022,5.0,37.980000000000004,55.635129,37.658684,7,3.5263605246161616,6
17.75,180.3,1.13,1009.52,20.0,0.0181367521367521,0.038,3.0,37.14,55.877509,37.5085479,4,3.4965075614664802,6
17.75,180.3,1.13,1009.52,16.0,0.033,0.017,1.0,24.52,55.680056,37.584782,3,2.8903717578961645,6
17.75,180.3,1.13,1009.52,17.0,0.0143150684931506,0.01,2.0,32.932,55.976936,37.149584,2,3.332204510175204,6
17.75,180.3,1.13,1009.52,36.0,0.007,0.031,3.0,23.68,55.776064,37.475878,8,2.833213344056216,6
17.75,180.3,1.13,1009.52,17.0,0.0111538461538461,0.013,3.0,22.84,55.688043,37.863004,6,2.772588722239781,6
19.158333333333335,137.625,2.4125,1010.2458333333334,21.0,0.0132666666666666,0.02,2.0,51.727999999999994,55.734445,37.857779,9,3.871201010907891,0
19.158333333333335,137.625,2.4125,1010.2458333333334,17.0,0.0143150684931506,0.018,2.0,42.864,55.719959,37.795549,1,3.6635616461296463,0
19.158333333333335,137.625,2.4125,1010.2458333333334,31.0,0.0146593406593406,0.03,3.0,47.788,55.693546,37.455579,0,3.784189633918261,0
19.158333333333335,137.625,2.4125,1010.2458333333334,40.0,0.0143150684931506,0.025,4.0,56.652,55.976936,37.149584,2,3.970291913552122,0
19.158333333333335,137.625,2.4125,1010.2458333333334,11.0,0.0111538461538461,0.009,2.0,37.980000000000004,55.688043,37.863004,6,3.5263605246161616,0
20.708333333333332,154.54166666666666,3.2375000000000003,1006.1541666666668,20.0,0.0146593406593406,0.019,1.0,38.824,55.693546,37.455579,0,3.5553480614894135,1
20.708333333333332,154.54166666666666,3.2375000000000003,1006.1541666666668,20.0,0.0173673469387755,0.015,2.0,38.824,55.658163,37.471434,0,3.5553480614894135,1
20.708333333333332,154.54166666666666,3.2375000000000003,1006.1541666666668,19.0,0.0143150684931506,0.016,3.0,41.876,55.719959,37.795549,1,3.6375861597263857,1
20.708333333333332,154.54166666666666,3.2375000000000003,1006.1541666666668,24.0,0.0132666666666666,0.02,2.0,53.696000000000005,55.734445,37.857779,9,3.912023005428146,1
20.708333333333332,154.54166666666666,3.2375000000000003,1006.1541666666668,19.0,0.0111538461538461,0.011,2.0,38.824,55.688043,37.863004,6,3.5553480614894135,1
21.34166666666667,108.20833333333331,2.1041666666666665,1009.4625,16.0,0.0143150684931506,0.02,1.0,44.832,55.719959,37.795549,1,3.713572066704308,2
21.34166666666667,108.20833333333331,2.1041666666666665,1009.4625,16.0,0.013,0.011,2.0,51.727999999999994,55.759354,37.595584,5,3.871201010907891,2
21.34166666666667,108.20833333333331,2.1041666666666665,1009.4625,8.0,0.0111538461538461,0.008,3.0,48.772000000000006,55.688043,37.863004,6,3.8066624897703196,2
21.34166666666667,108.20833333333331,2.1041666666666665,1009.4625,11.0,0.0132666666666666,0.017,2.0,62.15599999999999,55.734445,37.857779,9,4.174387269895637,2
21.34166666666667,108.20833333333331,2.1041666666666665,1009.4625,22.0,0.0181367521367521,0.018,1.0,54.67999999999999,55.877509,37.5085479,4,3.9318256327243257,2
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,14.0,0.023,0.024,2.0,32.092,55.693546,37.455579,0,3.295836866004329,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,8.0,0.0111538461538461,0.005,1.0,30.412,55.688043,37.863004,6,3.2188758248682006,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,21.0,0.0181367521367521,0.013,1.0,51.727999999999994,55.877509,37.5085479,4,3.871201010907891,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,14.0,0.023,0.01,2.0,32.932,55.658163,37.471434,0,3.332204510175204,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,12.0,0.022,0.006,1.0,44.832,55.759354,37.595584,5,3.713572066704308,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,16.0,0.0143150684931506,0.014,3.0,60.504,55.976936,37.149584,2,4.04305126783455,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,17.0,0.013,0.015,1.0,32.932,55.773757,37.627445,5,3.332204510175204,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,11.0,0.0143150684931506,0.013,2.0,44.832,55.719959,37.795549,1,3.713572066704308,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,9.0,0.0132666666666666,0.007,3.0,30.412,55.715698,37.6052377,5,3.2188758248682006,3
18.870833333333337,220.04166666666663,4.675,1008.4291666666668,9.0,0.0132666666666666,0.01,2.0,39.664,55.734445,37.857779,9,3.58351893845611,3
