date,pm25,pm10,o3,no2,co,station_name,aqi,latitude,longitude
2024-12-04,23.0,12.0,0.008,0.014,1.0,"Mgu, Moscow, Moscow, Russia",73.92,55.707241,37.52241
2024-12-04,13.0,12.0,0.013266666666666671,0.017,2.0,"Novokosino, Moscow, Moscow, Russia",52.89,55.734445,37.857779
2024-12-04,26.0,22.0,0.006,0.019,4.0,"Zelen_15, Moscow, Moscow, Russia",80.23,55.976936,37.149584
2024-12-04,12.0,11.0,0.017666666666666667,0.021,2.0,"Narod_op, Moscow, Moscow, Russia",50.0,55.776064,37.475878
2024-12-04,7.0,46.0,0.019410958904109585,0.025,3.0,"Suhar, Moscow, Moscow, Russia",42.59,55.773757,37.627445
2024-12-04,15.0,9.0,0.011153846153846155,0.018,1.0,zhulebino,57.1,55.688043,37.863004
2024-12-04,37.0,14.0,0.014315068493150692,0.021,2.0,"Veshnyaki, Moscow, Moscow, Russia",104.69,55.719959,37.795549
2024-12-04,15.0,12.0,0.014,0.024,1.0,"Shabol, Moscow, Moscow, Russia",57.1,55.715698,37.6052377
2024-12-04,21.0,10.0,0.014659340659340655,0.019,2.0,"Ochakovskaya, Moscow, Moscow, Russia",69.72,55.693546,37.455579
2024-12-03,6.0,13.0,0.011,0.017,2.0,"Suhar, Moscow, Moscow, Russia",25.0,55.773757,37.627445
2024-12-03,14.0,6.0,0.011153846153846155,0.013,1.0,zhulebino,55.0,55.688043,37.863004
2024-12-03,21.0,6.0,0.017367346938775518,0.012,1.0,"Vernad, Moscow, Moscow, Russia",69.72,55.658163,37.471434
2024-12-03,21.0,11.0,0.008,0.008,2.0,"Mgu, Moscow, Moscow, Russia",69.72,55.707241,37.52241
2024-12-03,15.0,5.0,0.013266666666666671,0.016,2.0,"Novokosino, Moscow, Moscow, Russia",57.1,55.734445,37.857779
2024-12-03,23.0,8.0,0.024580645161290327,0.012,1.0,"Proletarskiy, Moscow, Moscow, Russia",73.92,55.635129,37.658684
2024-12-03,17.0,4.0,0.011,0.011,2.0,"Spirid, Moscow, Moscow, Russia",61.3,55.759354,37.595584
2024-12-03,32.0,9.0,0.01,0.009,2.0,"Zelen_15, Moscow, Moscow, Russia",92.85,55.976936,37.149584
2024-12-03,21.0,6.0,0.014659340659340655,0.017,1.0,"Ochakovskaya, Moscow, Moscow, Russia",69.72,55.693546,37.455579
2024-12-03,13.0,5.0,0.017666666666666667,0.013,2.0,"Narod_op, Moscow, Moscow, Russia",52.89,55.776064,37.475878
2024-12-03,34.0,13.0,0.014315068493150692,0.016,1.0,"Veshnyaki, Moscow, Moscow, Russia",97.06,55.719959,37.795549
2024-12-03,8.0,3.0,0.006,0.011,1.0,"Cheremushki, Moscow, Moscow, Russia",33.33,55.680056,37.584782
2024-12-02,9.0,5.0,0.013266666666666671,0.015,2.0,"Novokosino, Moscow, Moscow, Russia",37.5,55.734445,37.857779
2024-12-02,16.0,5.0,0.005,0.014,1.0,"Shabol, Moscow, Moscow, Russia",59.2,55.715698,37.6052377
2024-12-02,14.0,6.0,0.011153846153846155,0.013,1.0,zhulebino,55.0,55.688043,37.863004
2024-12-02,14.0,5.0,0.017666666666666667,0.015,3.0,"Narod_op, Moscow, Moscow, Russia",55.0,55.776064,37.475878
2024-12-02,23.0,6.0,0.01,0.012,2.0,"Spirid, Moscow, Moscow, Russia",73.92,55.759354,37.595584
2024-12-02,25.0,7.0,0.024580645161290327,0.009,1.0,"Proletarskiy, Moscow, Moscow, Russia",78.13,55.635129,37.658684
2024-12-02,27.0,5.0,0.011,0.012,1.0,"bazovskaya, Moscow, Moscow, Russia",82.33,55.877509,37.5085479
2024-12-02,26.0,8.0,0.017367346938775518,0.01,2.0,"Vernad, Moscow, Moscow, Russia",80.23,55.658163,37.471434
2024-12-02,26.0,8.0,0.014659340659340655,0.013,1.0,"Ochakovskaya, Moscow, Moscow, Russia",80.23,55.693546,37.455579
2024-12-02,7.0,9.0,0.01,0.013,2.0,"Suhar, Moscow, Moscow, Russia",29.17,55.773757,37.627445
2024-12-02,36.0,9.0,0.014315068493150692,0.013,1.0,"Veshnyaki, Moscow, Moscow, Russia",102.23,55.719959,37.795549
2024-12-02,29.0,6.0,0.011,0.007,2.0,"Zelen_15, Moscow, Moscow, Russia",86.54,55.976936,37.149584
2024-12-02,28.0,5.0,0.007,0.005,1.0,"Mgu, Moscow, Moscow, Russia",84.44,55.707241,37.52241
2024-12-01,23.0,8.0,0.012,0.005,2.0,"Zelen_15, Moscow, Moscow, Russia",73.92,55.976936,37.149584
2024-12-01,22.0,9.0,0.014659340659340655,0.015,1.0,"Ochakovskaya, Moscow, Moscow, Russia",71.82,55.693546,37.455579
