,index,date,pm25_min,pm10_min,o3_min,no2_min,co_min,aqi_min,pm25_max,pm10_max,o3_max,no2_max,co_max,aqi_max,pm25_mean,pm10_mean,o3_mean,no2_mean,co_mean,aqi_mean,temp_min,dwpt_min,rhum_min,prcp_min,snow_min,wdir_min,wspd_min,pres_min,coco_min,temp_max,dwpt_max,rhum_max,prcp_max,snow_max,wdir_max,wspd_max,pres_max,coco_max,temp_mean,dwpt_mean,rhum_mean,prcp_mean,snow_mean,wdir_mean,wspd_mean,pres_mean,coco_mean,pm25,pm10,o3,no2,co,station_name,aqi,latitude,longitude,distance_to_center,cluster,enterprise_distance,enterprise_name
10,0,2024-06-09,15.0,12.0,0.007,0.009,1.0,57.1,34.0,42.0,0.033,0.038,5.0,97.06,24.583333333333332,21.916666666666668,0.0196251150365158,0.0225,2.4166666666666665,77.25166666666667,13.7,6.7,39.0,0.0,0.0,0.0,0.0,1008.8,2.0,21.2,10.7,82.0,0.0,0.0,300.0,4.0,1010.3,3.0,17.75,8.889999999999999,58.1,0.0,0.0,180.3,1.13,1009.52,2.5,16.0,36.0,0.007,0.031,3.0,"Narod_op, Moscow, Moscow, Russia",59.2,55.776064,37.475878,0.1635859999999951,8,1.8645528037767782,"Щитовое заграждение ""Таракановка"""
11,0,2024-06-09,15.0,12.0,0.007,0.009,1.0,57.1,34.0,42.0,0.033,0.038,5.0,97.06,24.583333333333332,21.916666666666668,0.0196251150365158,0.0225,2.4166666666666665,77.25166666666667,13.7,6.7,39.0,0.0,0.0,0.0,0.0,1008.8,2.0,21.2,10.7,82.0,0.0,0.0,300.0,4.0,1010.3,3.0,17.75,8.889999999999999,58.1,0.0,0.0,180.3,1.13,1009.52,2.5,15.0,17.0,0.0111538461538461,0.013,3.0,zhulebino,57.1,55.688043,37.863004,0.3115609999999975,6,2.334234103887257,"Пруд-отстойник ""Жулебино"""
12,1,2024-06-10,33.0,11.0,0.0111538461538461,0.009,2.0,94.95,52.0,40.0,0.0146593406593406,0.03,4.0,141.63,42.6,24.0,0.0135419980932309,0.0203999999999999,2.6,118.506,14.2,10.5,48.0,0.0,0.0,0.0,0.0,1007.6,2.0,22.8,16.2,95.0,0.0,0.0,210.0,7.0,1012.1,7.0,19.158333333333335,13.295833333333334,70.45833333333333,0.0,0.0,137.625,2.4125,1010.2458333333334,4.041666666666667,47.0,21.0,0.0132666666666666,0.02,2.0,"Novokosino, Moscow, Moscow, Russia",129.32,55.734445,37.857779,0.2599340000000012,9,3.9944731590251847,"Пруд-отстойник ""Жулебино"""
13,1,2024-06-10,33.0,11.0,0.0111538461538461,0.009,2.0,94.95,52.0,40.0,0.0146593406593406,0.03,4.0,141.63,42.6,24.0,0.0135419980932309,0.0203999999999999,2.6,118.506,14.2,10.5,48.0,0.0,0.0,0.0,0.0,1007.6,2.0,22.8,16.2,95.0,0.0,0.0,210.0,7.0,1012.1,7.0,19.158333333333335,13.295833333333334,70.45833333333333,0.0,0.0,137.625,2.4125,1010.2458333333334,4.041666666666667,38.0,17.0,0.0143150684931506,0.018,2.0,"Veshnyaki, Moscow, Moscow, Russia",107.16,55.719959,37.795549,0.2121899999999996,1,3.199454902130729,"Пруд-отстойник ""Жулебино"""
14,1,2024-06-10,33.0,11.0,0.0111538461538461,0.009,2.0,94.95,52.0,40.0,0.0146593406593406,0.03,4.0,141.63,42.6,24.0,0.0135419980932309,0.0203999999999999,2.6,118.506,14.2,10.5,48.0,0.0,0.0,0.0,0.0,1007.6,2.0,22.8,16.2,95.0,0.0,0.0,210.0,7.0,1012.1,7.0,19.158333333333335,13.295833333333334,70.45833333333333,0.0,0.0,137.625,2.4125,1010.2458333333334,4.041666666666667,43.0,31.0,0.0146593406593406,0.03,3.0,"Ochakovskaya, Moscow, Moscow, Russia",119.47,55.693546,37.455579,0.2186750000000046,0,0.7294662889235759,"Теплоэлектроцентраль №25 - филиал публичного акционерного общества энергетики и электрификации ""Мосэнерго"""
15,1,2024-06-10,33.0,11.0,0.0111538461538461,0.009,2.0,94.95,52.0,40.0,0.0146593406593406,0.03,4.0,141.63,42.6,24.0,0.0135419980932309,0.0203999999999999,2.6,118.506,14.2,10.5,48.0,0.0,0.0,0.0,0.0,1007.6,2.0,22.8,16.2,95.0,0.0,0.0,210.0,7.0,1012.1,7.0,19.158333333333335,13.295833333333334,70.45833333333333,0.0,0.0,137.625,2.4125,1010.2458333333334,4.041666666666667,52.0,40.0,0.0143150684931506,0.025,4.0,"Zelen_15, Moscow, Moscow, Russia",141.63,55.976936,37.149584,0.6907520000000034,2,6.589855560568753,"Зеленоградские очистные сооружения (Цех комплексной очистки сточных вод) ПУ ""Зеленоградводоканал"""
16,1,2024-06-10,33.0,11.0,0.0111538461538461,0.009,2.0,94.95,52.0,40.0,0.0146593406593406,0.03,4.0,141.63,42.6,24.0,0.0135419980932309,0.0203999999999999,2.6,118.506,14.2,10.5,48.0,0.0,0.0,0.0,0.0,1007.6,2.0,22.8,16.2,95.0,0.0,0.0,210.0,7.0,1012.1,7.0,19.158333333333335,13.295833333333334,70.45833333333333,0.0,0.0,137.625,2.4125,1010.2458333333334,4.041666666666667,33.0,11.0,0.0111538461538461,0.009,2.0,zhulebino,94.95,55.688043,37.863004,0.3115609999999975,6,2.334234103887257,"Пруд-отстойник ""Жулебино"""
17,2,2024-06-11,34.0,19.0,0.0111538461538461,0.011,1.0,97.06,49.0,24.0,0.0173673469387755,0.02,3.0,134.24,37.6,20.4,0.0141524537823558,0.0162,2.0,106.022,17.4,16.3,61.0,0.0,0.0,0.0,0.0,1004.6,4.0,25.7,18.7,98.0,0.0,0.0,200.0,7.0,1008.5,7.0,20.708333333333332,17.754166666666666,83.91666666666667,0.0,0.0,154.54166666666666,3.2375000000000003,1006.1541666666668,6.5,34.0,20.0,0.0146593406593406,0.019,1.0,"Ochakovskaya, Moscow, Moscow, Russia",97.06,55.693546,37.455579,0.2186750000000046,0,0.7294662889235759,"Теплоэлектроцентраль №25 - филиал публичного акционерного общества энергетики и электрификации ""Мосэнерго"""
18,2,2024-06-11,34.0,19.0,0.0111538461538461,0.011,1.0,97.06,49.0,24.0,0.0173673469387755,0.02,3.0,134.24,37.6,20.4,0.0141524537823558,0.0162,2.0,106.022,17.4,16.3,61.0,0.0,0.0,0.0,0.0,1004.6,4.0,25.7,18.7,98.0,0.0,0.0,200.0,7.0,1008.5,7.0,20.708333333333332,17.754166666666666,83.91666666666667,0.0,0.0,154.54166666666666,3.2375000000000003,1006.1541666666668,6.5,34.0,20.0,0.0173673469387755,0.015,2.0,"Vernad, Moscow, Moscow, Russia",97.06,55.658163,37.471434,0.2382029999999986,0,4.561602146832035,"Теплоэлектроцентраль №25 - филиал публичного акционерного общества энергетики и электрификации ""Мосэнерго"""
19,2,2024-06-11,34.0,19.0,0.0111538461538461,0.011,1.0,97.06,49.0,24.0,0.0173673469387755,0.02,3.0,134.24,37.6,20.4,0.0141524537823558,0.0162,2.0,106.022,17.4,16.3,61.0,0.0,0.0,0.0,0.0,1004.6,4.0,25.7,18.7,98.0,0.0,0.0,200.0,7.0,1008.5,7.0,20.708333333333332,17.754166666666666,83.91666666666667,0.0,0.0,154.54166666666666,3.2375000000000003,1006.1541666666668,6.5,37.0,19.0,0.0143150684931506,0.016,3.0,"Veshnyaki, Moscow, Moscow, Russia",104.69,55.719959,37.795549,0.2121899999999996,1,3.199454902130729,"Пруд-отстойник ""Жулебино"""
